ENSG	ENST	ENSP	Gene_name	Length	PredHel	Topology
ENSG00000166157	ENST00000298232	ENSP00000298232	TPTE	len=533	PredHel=3	Topology=i71-93o108-130i139-161o
ENSG00000166157	ENST00000361285	ENSP00000355208	TPTE	len=551	PredHel=3	Topology=i89-111o126-148i157-179o
ENSG00000166157	ENST00000342420	ENSP00000344441	TPTE	len=513	PredHel=3	Topology=i51-73o88-110i119-141o
ENSG00000166157	ENST00000328758	ENSP00000399471	TPTE	len=130	PredHel=2	Topology=i70-92o107-129i
ENSG00000168675	ENST00000399848	ENSP00000382741	LDLRAD4	len=288	PredHel=1	Topology=o65-87i
ENSG00000168675	ENST00000359446	ENSP00000352420	LDLRAD4	len=306	PredHel=1	Topology=o65-87i
ENSG00000168675	ENST00000587757	ENSP00000466178	LDLRAD4	len=269	PredHel=1	Topology=o28-50i
ENSG00000168675	ENST00000586765	ENSP00000474783	LDLRAD4	len=251	PredHel=1	Topology=o28-50i
ENSG00000168675	ENST00000361205	ENSP00000354753	LDLRAD4	len=306	PredHel=1	Topology=o65-87i
ENSG00000182974	ENST00000332663	ENSP00000329467	OR4M2	len=313	PredHel=6	Topology=o26-48i61-83o98-120i141-163o203-225i238-260o
ENSG00000183706	ENST00000328795	ENSP00000332500	OR4N4	len=316	PredHel=7	Topology=o25-47i59-78o98-120i141-163o200-222i243-265o270-289i
ENSG00000137824	ENST00000260385	ENSP00000260385	RMDN3	len=470	PredHel=1	Topology=i13-35o
ENSG00000137824	ENST00000338376	ENSP00000342493	RMDN3	len=470	PredHel=1	Topology=i13-35o
ENSG00000137824	ENST00000560460	ENSP00000453978	RMDN3	len=251	PredHel=1	Topology=o10-32i
ENSG00000137824	ENST00000560905	ENSP00000453199	RMDN3	len=287	PredHel=1	Topology=o10-32i
ENSG00000177150	ENST00000322247	ENSP00000323635	FAM210A	len=272	PredHel=1	Topology=i133-155o
ENSG00000177150	ENST00000592976	ENSP00000465396	FAM210A	len=268	PredHel=1	Topology=i133-155o
ENSG00000177150	ENST00000591269	ENSP00000468361	FAM210A	len=178	PredHel=1	Topology=i133-155o
ENSG00000177150	ENST00000402563	ENSP00000386115	FAM210A	len=272	PredHel=1	Topology=i133-155o
ENSG00000101638	ENST00000315087	ENSP00000321343	ST8SIA5	len=376	PredHel=1	Topology=i12-34o
ENSG00000101638	ENST00000538168	ENSP00000445492	ST8SIA5	len=412	PredHel=1	Topology=i12-34o
ENSG00000101638	ENST00000536490	ENSP00000443683	ST8SIA5	len=345	PredHel=1	Topology=i12-34o
ENSG00000154639	ENST00000284878	ENSP00000284878	CXADR	len=365	PredHel=1	Topology=o236-258i
ENSG00000154639	ENST00000400169	ENSP00000383033	CXADR	len=352	PredHel=1	Topology=o236-258i
ENSG00000154639	ENST00000306618	ENSP00000303395	CXADR	len=324	PredHel=1	Topology=o195-217i
ENSG00000140416	ENST00000560959	ENSP00000453724	TPM1	len=275	PredHel=1	Topology=o251-273i
ENSG00000154645	ENST00000400128	ENSP00000382993	CHODL	len=232	PredHel=1	Topology=o177-199i
ENSG00000154645	ENST00000400127	ENSP00000382992	CHODL	len=232	PredHel=1	Topology=o177-199i
ENSG00000154645	ENST00000299295	ENSP00000299295	CHODL	len=273	PredHel=1	Topology=o218-240i
ENSG00000154645	ENST00000543733	ENSP00000443566	CHODL	len=254	PredHel=1	Topology=o199-221i
ENSG00000154654	ENST00000400546	ENSP00000383392	NCAM2	len=837	PredHel=1	Topology=o696-718i
ENSG00000154654	ENST00000284894	ENSP00000284894	NCAM2	len=695	PredHel=1	Topology=o554-576i
ENSG00000176136	ENST00000589410	ENSP00000468086	MC5R	len=173	PredHel=3	Topology=o37-59i72-94o126-148i
ENSG00000176136	ENST00000324750	ENSP00000318077	MC5R	len=325	PredHel=7	Topology=o37-59i72-94o116-138i159-181o185-207i238-260o275-297i
ENSG00000185231	ENST00000327606	ENSP00000333821	MC2R	len=297	PredHel=7	Topology=o30-49i62-84o104-126i147-166o176-198i219-241o256-278i
ENSG00000185231	ENST00000399821	ENSP00000382718	MC2R	len=123	PredHel=2	Topology=i25-47o57-79i
ENSG00000166145	ENST00000562057	ENSP00000457076	SPINT1	len=513	PredHel=2	Topology=i12-34o450-472i
ENSG00000166145	ENST00000344051	ENSP00000342098	SPINT1	len=529	PredHel=2	Topology=i12-34o466-488i
ENSG00000166145	ENST00000563656	ENSP00000457284	SPINT1	len=301	PredHel=1	Topology=i12-34o
ENSG00000166145	ENST00000568580	ENSP00000458074	SPINT1	len=472	PredHel=1	Topology=o417-439i
ENSG00000166145	ENST00000566928	ENSP00000456015	SPINT1	len=240	PredHel=1	Topology=o217-239i
ENSG00000166145	ENST00000564375	ENSP00000454315	SPINT1	len=294	PredHel=1	Topology=o233-255i
ENSG00000166145	ENST00000569589	ENSP00000455038	SPINT1	len=204	PredHel=1	Topology=o142-164i
ENSG00000166145	ENST00000431806	ENSP00000409935	SPINT1	len=513	PredHel=2	Topology=i12-34o450-472i
ENSG00000154721	ENST00000400532	ENSP00000383376	JAM2	len=312	PredHel=1	Topology=o239-261i
ENSG00000154721	ENST00000480456	ENSP00000420419	JAM2	len=298	PredHel=1	Topology=o239-261i
ENSG00000154721	ENST00000460679	ENSP00000436801	JAM2	len=261	PredHel=1	Topology=o195-217i
ENSG00000154721	ENST00000312957	ENSP00000318416	JAM2	len=298	PredHel=1	Topology=o239-261i
ENSG00000154721	ENST00000425221	ENSP00000392611	JAM2	len=262	PredHel=1	Topology=o203-225i
ENSG00000124103	ENST00000371328	ENSP00000360379	FAM209A	len=171	PredHel=2	Topology=i7-25o51-73i
ENSG00000213714	ENST00000371325	ENSP00000360376	FAM209B	len=171	PredHel=2	Topology=i7-25o51-73i
ENSG00000140564	ENST00000268171	ENSP00000268171	FURIN	len=794	PredHel=1	Topology=o716-738i
ENSG00000140564	ENST00000559353	ENSP00000452730	FURIN	len=69	PredHel=1	Topology=o5-22i
ENSG00000140157	ENST00000337451	ENSP00000337618	NIPA2	len=360	PredHel=9	Topology=o10-30i57-79o83-105i110-129o149-171i178-200o215-237i246-268o278-299i
